,review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,English
1182,1b0193dec8f270afea83302dc238f7e6,b26281af4e5c3a50b10887f626ee883f,1,Entrega Parcial.,Efetuei a compra e pagamento de duas unidades e recebi apenas uma unidade. Aguardando tratativa.,2018-05-05 00:00:00,2018-05-08 11:19:49,I made the purchase and payment of two units and received only one unit.Waiting for treativeness.
1221,49673f9eaf3b9b23234dc2c7301f5b95,e86dc64373eaaf9fc1d9d58bfce38f2f,1,Produto com avaria,"Comprei 2 unidades do produto, veio avariado visto que a embalagem é muito fraca, sendo que veio com dois buracos no fundo da panela, devido a pressão que dog colocado em cima dele.",2018-05-18 00:00:00,2018-05-20 19:29:12,"I bought 2 units of the product, it came damaged since the packaging is very weak, and it came with two holes in the bottom of the pan due to the pressure that dog placed on top of it."
1236,6ca11f1297156d3351a86c3b13b794b0,7e61f390f3e0aa3b112e56091d2b9ee3,1,Pedido cancelado,Pedido foi cancelado e mesmo assim a loja enviou o produto. Devolvi o produto e quero o estorno da compra em meu cartão de crédito.,2018-08-30 00:00:00,2018-08-30 07:49:02,Request has been canceled and yet the store sent the product.I returned the product and I want the purchase reversal on my credit card.
1452,e9b1efcc9dd695b59c0dc9c52906c58f,e57e73a70eae13788da4c7fd3b96ed0b,1,Não recebi os dois produt,Recebi apenas 1 perfume (perfume H2O). O perfume Ototemo NÃO recebi ainda. Estou preocupada pois no pedido consta que recebi dois perfumes!!!,2018-05-09 00:00:00,2018-05-10 09:09:56,I received only 1 perfume (H2O perfume).Ototemo perfume has not yet received.I'm worried because at the request is that I received two perfumes !!!
1461,115f129f19b4976b3eabd65ed6901f0c,26466061ecf0630db081aea8581b871b,1,Defeito,"O produto chegou bem antes do prazo, mas com defeito, veio quebrado o lugar de fazer o encaixar. Muito bonitinha, mas frágil. Tentei realizar a troca pelo site e não consegui. ",2018-06-15 00:00:00,2018-06-15 19:26:45,"The product arrived well before the deadline, but defective, came broken the place to fit.Very cute but fragile.I tried to make the exchange for the site and I could not."
1501,a06e7c4f5bf7d2e92a196357f4105842,db10e5b34779ebe39e1bc929469eb841,1,Atraso na data de entrega,Já entrei em contato com a lannister pelo telefone e eles me falam q vai mandar o link direto com o parceiro pra eu saber detalhes da entrega da conta e esse link n veio. Péssimo suporte ao cliente,2018-08-16 00:00:00,2018-08-16 17:20:04,I already got in touch with Lannister on the phone and they tell me that it will send the direct link with the partner to know details of the delivery of the account and this link n came.Customer support
1677,0cffe48417b97928c3cdaf4f44ce6463,32f0e397d36f01e44c8c257ceaecf508,1,Mercadoria não entregue,Não posso avaliar o que não recebi ,2018-08-10 00:00:00,2018-08-10 08:54:02,I can not evaluate what I did not receive
1727,2043259de03f7957f399d2f504539157,979fdfc1766453994df684ee9637ec80,1,Produto veio diferente ,Produto veio diferente ao anuncuado. Liguei e só esperando o código para a devolução do produto e reembolso do valor pago.,2018-07-26 00:00:00,2018-07-26 21:25:30,Product came different from announcing.I called and just waiting for the code for the return of the product and reimbursement of the amount paid.
1815,bd90607f4a5e655bd1b13e545620eecc,189ba95d81c72d1250e45df72f8acaa4,1,Não recebi ,Tá demorando mt,2018-05-23 00:00:00,2018-05-25 12:32:38,Reading Mt
1836,ecd30ad71b1a6be967f483f490915fb1,a5a854651cfe0d8da9f1669266fd4063,1,Você paga 2 e recebe 1,"ROUBO! Na nota fiscal são 2 unidades mas no embrulho vem apenas UMA.
Querem cobrar sem entregar?",2018-05-15 00:00:00,2018-05-16 01:04:52,"THEFT!In the invoice there are 2 units but in wrapping comes only one.
Do you want to charge without delivering?"
2013,5808ad5da44e92c2d7d60b57e961b57f,56805b4cf0ebc9cd9f7619783cae47e3,1,PRODUTO DIFERENTE ,"Recebi uma escova de outra marca.
Não consigo resolver o problema.
Péssimos atendimentos das lojas lannister e parceira!!!",2018-07-27 00:00:00,2018-07-30 16:41:46,"I received a brush from another mark.
I can not solve the problem.
Poor calls from Lannister and partner stores !!!"
2104,a3c8279e3602ca6080c5f62f6cbee83e,68743b7445ab5ce45c40b8490752c44d,1,Péssimo atendimento,"Recebi produto errado à uma semana. Aceitei mas o valor do produto entregue é menor. Pedi reembolso mas até agora nada, faz 9 dias já",2018-05-31 00:00:00,2018-05-31 18:30:08,"I got a wrong product at a week.I accepted but the value of the product delivered is lower.I asked for a refund but so far nothing, 9 days ago"
2186,0cbb6c4a0dd218723fa235bf6941308c,f8631b34c3dfdad3833c611007f62455,1,Produto bom ,O tamanho é pequeno e percebi depois que no anúncio não dá destaque as dimensões do produto. Deixa a desejar ,2018-05-03 00:00:00,2018-05-03 18:10:32,The size is small and perceived after the ad does not highlight the dimensions of the product.Falls short
2221,4ce356e500322a6632aeb92e8225fb27,f9caecc41dc2d3c623aa7b362611fdd2,1,Produto Mal feito,"Produto mal feito, torto, com as soldas mal feitas.",2018-08-18 00:00:00,2018-08-20 12:05:06,"Mal-made product, crooked, with evil welds."
2222,46bbfd645772dfa7bc83035076a4e95e,30524d6f42cc124d17d641b49e792b87,1,Produto com defeito,"
Comprei um produto que está com defeito e não consigo trocar da erro no site.",2018-08-17 00:00:00,2018-08-19 19:52:40,I bought a product that is defective and I can not change the error on the site.
2257,2df16bb02cd90f26e6c9ac0ce501e004,dfa6eead1006319e9774de25417757a7,1,Recomendo ,"Sempre comprei e não tiver problema, porém dessa vem sim meus produtos não chegou até agora ",2018-06-10 00:00:00,2018-06-10 09:15:58,"I always bought and no problem, but this comes yes my products did not come so far"
2358,f2395ab617ccf04f0c89abfd9f0334b1,8624511aa767a83ed91a47c158320964,1,Informação\preocupada,"Minha avaliação ta sendo esta pq aqui aparece q recebi o produto e ainda não chegou em casa.Por favor, queria saber o q está acontecendo ???
Atenciosamente, 
Juliana",2018-08-31 00:00:00,2018-08-31 21:00:34,"My evaluation is being this here appears that I received the product and has not yet arrived at home. Please, I wanted to know what is happening ???
Graciously,
Juliana"
2359,699013a9a3324862ca1aa07c89679f75,cc6e97ae2828fbe0e3d687628b51c155,1,Diferente,Material inferior ao que demonstrava na imagem. ,2018-04-25 00:00:00,2018-05-14 13:22:47,Material lower than that demonstrated in the image.
2366,637bcba6669f1b87fa078c4caf8fd6bc,79f0fd0747eee58c3980cc9cdb2afbb1,1,Horrível ,Comprei uma coisa e me entregaram outra e não consigo fazer a troca e não consigo falar com a central !,2018-05-17 00:00:00,2018-05-20 20:16:06,I bought one thing and they gave me another one and I can not make the exchange and I can not talk to Central!
2509,9e3ef52c33d9bb0445f0bddb3df4b1ea,9d39d357291a0e87c2c2816dabc0b23a,1,Comprei 4 chegou só 3,"Comprei 4 produtos, sendo que só recebi 3. Faltou um lençol branco sem elástico. Foi quase R$ 100,00. E como eu fico? No prejuizo?",2018-05-25 00:00:00,2018-05-29 05:22:39,"I purchased 4 products, and I only received 3. A white sheet has been missing without elastic.It was almost $ 100.00.And how do I stay?In the prejudice?"
2545,418e343cb83ada7758da2d5657e15ce2,bb9a5a9d8a6ff80eabda95e3b78f0a45,1,Recebi o produto errado,Comprei o Iso X e recebi o Nitro Hard ,2018-07-14 00:00:00,2018-07-15 00:41:43,I bought ISO X and received Nitro Hard
2599,a9060f20a024434c1f97346a09b3cbd8,89812ae1f27bd0baa142a3aa9ab5cb49,1,Qualidade pior que camelô,"Comprei uma pelúcia do Creeper Minecraft e a qualidade é de loja de 1,99. Quando se liga para o SAC não se consegue falar com ninguém. ",2018-08-29 00:00:00,2018-08-31 20:57:24,I bought a plush of Creeper Minecraft and the quality is a store of 1.99.When you call SAC you can not talk to anyone.
2600,3048ab17e39285ed6f995b5dcd0e74db,1a6b9a764637acbc39e1624a2211f548,1,Muito Ruim,"Comprei 6 cartuchos, recebi apenas 4 unidades após o prazo de entrega, e ate hoje estou tentando entrar em contato para uma solução, mas sem sucesso. ",2018-08-24 00:00:00,2018-08-27 12:17:01,"I bought 6 cartridges, I received only 4 units after the delivery time, and until today I am trying to contact for a solution, but without success."
2728,86349933ffb523f45e0be79472cb8144,836f9b5adb4fe06d8980fb71fa06b691,1,PÉSSIMO SERVIÇO ,Já solicitei a troca porém até o momento nada. Enviaram o produto errado e agora informam que a troca não pode ser feita. ,2018-08-18 00:00:00,2018-08-18 20:32:46,"I have already requested the exchange, however until nowhere.They sent the wrong product and now report that the exchange can not be done."
2729,df6b9d8caa70496d75d1fc41531ee670,2aff111da5413ddf7c6ab3717f366c06,1,Tristeza,"Comprei, esperei, esperei e até agora nada.
Ainda tenho esperança. Quem sabe houve algum problema que venha a ser resolvido.",2018-04-29 00:00:00,2018-04-29 20:57:46,"I bought, waited, waited and so far nothing.
I still have hope.Who knows there was a problem that comes to be solved."
2887,54fb8457b4672719adb47e41e6d00e08,3f003568147c785083d014edfba38c48,1,1,MUITO MAU ACABADO NÃO RECOMENDO ,2018-07-03 00:00:00,2018-07-04 05:54:35,Very bad finished do not recommend
2923,a16297a5874a277b85dde1913e13fb92,c14d2e12b876b00738f6c4ae6329e1dc,1,Não recomendo,"O produto chegou no prazo e intacto, porém não funciona.Coloquei o aspirador de carro com tomada para o ascendedor de cigarros no aparelho já conectado na tomada e nada, não funciona.embora 12v
",2018-08-30 00:00:00,2018-08-30 11:25:08,"The product has reached the deadline and intact, but it does not work. I put the car vacuum cleaner with the cigarette ancient in the apparatus already connected in the outlet and nothing, it does not work."
3027,ec462037806835e6ab262d7036de5db5,4a47b1dd5336773ce156b344b1f2aff0,1,Produto difere,"Produto não é o mesmo mostrado, o fone não é auricular e tem cerca de 30cm, a embalagem veio danificada, rachada e faltando pedaço, o vendedor não retorna o pedido de devolução e ressarcimento.",2018-05-18 00:00:00,2018-05-21 15:34:15,"Product is not the same shown, the phone is not auricular and has about 30cm, the package came damaged, cracked and missing piece, the seller does not return the request for return and reimbursement."
3031,e3d0b5759bcb4f0cf86a52f8e0c9664f,aeb656e39cc0a83dd545f079f099d7e7,1,Parceiro não confiável ,"Estou com problemas de pedido. O parceiro não responde, envia pedido errado e não retorna.",2018-05-19 00:00:00,2018-06-11 23:13:48,"I have request problems.The partner does not respond, sends wrong request and does not return."
3099,07bda9a8f3c45c5010fab2651003fd96,ae820ecd285ee7d0db7eac6f69049b36,1,Péssima loja,"Comprei um relogio, veio outro, mandei msgs, ninguém responde, ninguém retorna! Vendi pra uma amiga pra não perder meu dinheiro!! Não compreeem!! Mandam errado e não respondem os clientes! ",2018-05-23 00:00:00,2018-05-26 20:18:51,"I bought a clock, came another, I sent msgs, no one answers, no one returns!I sold a friend to not lose my money !!Do not understand !!They get it wrong and do not respond to customers!"
3162,4481b7d6375b34d2d6f82151f77c5526,68f22824fa054075c52f660019cce134,1,Incorreto,"O produto oferecido no anúncio é um, mas o que foi entregue se difere de forma que altera seu funcionamento.",2018-06-12 00:00:00,2018-06-15 09:25:09,"The product offered in the advertisement is one, but what has been delivered differs so that it changes its operation."
3186,d3e27a7eb9cbab58e2afa8c2cdb26406,6ffcafc5934324a01c7758dde8a28513,1,Péssima ,"Ridículo o sistema de trabalho dessa loja, te cobram pelo frete do produto e não te entregam em seu endereço. Exijo reembolso dos valores pagos. ",2018-05-11 00:00:00,2018-05-17 10:58:59,"Ridiculous the work system of this store, charge you for the freight of the product and do not deliver you at your address.I demand reimbursement of paid values."
3265,982645839578b50e2484535f7b56bf10,a85ad381ff410bb40159e498feb30a13,1,cobertor,"produto inferior ao esperado.
Desejo devolve lo. ",2018-06-08 00:00:00,2018-06-09 19:46:51,"lower than expected product.
I want to return it."
3268,9795b5fb0094ddd06f7688dab1f5bb26,83fb83d45702e06d5d5ddbcfd0b8d2a0,1,NÃO COMPREM COM A LOJA ,Fiz o pedido em 30-04-2018 e paguei no mesmo dia o valor do produto. É até hoje 09-06-2018 (mais de um mês) não chegou o produto em minha residência. Vou ter que acionar o órgão competente.,2018-06-09 00:00:00,2018-06-09 13:50:31,I made the order on 30-04-2018 and paid the value of the product on the same day.It is until today 09-06-2018 (more than a month) The product has not arrived in my residence.I will have to trigger the competent body.
3319,66b994e29ad2545df76fd8fb2bedbe6b,74d882fe8bdccca5952fbe23321ecfa7,1,Passou o prazo de entrega,Já passou o prazo de entrega e ainda não recebi o produto.,2018-06-09 00:00:00,2018-06-10 00:16:39,It has passed the delivery time and I have not received the product yet.
3322,f47279ea5a9c64ce467dd3b187c52593,a721e26ff7bd0e11f75933623f5eb2d5,1,Não recebi o produto...,"Comprei há muito tempo já! Comprei dois ao mesmo tempo, sei lá porque eles enviaram os dois filtros separados. Chegou apenas um, o outro não chegou até hoje e ainda não obtive nenhuma resposta da loja",2018-05-09 00:00:00,2018-05-11 23:54:57,"I bought a long time already!I bought two at the same time, I do not know why they sent the two separate filters.Just one, the other has not arrived until today and I still did not get any response from the store"
3339,ea72e79c9eef5bdadbaeb63715391413,d64a14f0bda63154a36174c4870ee78c,1,Produto não funciona.,Produto não funciona aparentemente o produto não é original.,2018-06-06 00:00:00,2018-06-09 16:50:21,Product does not apparently work the product is not original.
3341,f00ca078422e9228c68c0a27a6b515c7,ae375d6b88c37582455ff3a2b83462d4,1,1,ruin,2018-06-09 00:00:00,2018-06-10 22:57:19,ruin
3360,7cdc38c51e3d0acefd5976d4a01d11dd,a98012aa8c697f2bcff9f8c2183e0f2b,1,O pedido chegou faltando ,"O pedido, não chegou com a quantidade correta. Faltou o Suporte De Peito Cinta Peitoral Para Camera Gopro Go Pro, faltou um Adaptador Conector P2 Macho P10 Femea Estereo Microfone sendo 3.",2018-05-19 00:00:00,2018-05-22 01:32:42,"The request, did not arrive with the correct amount.Missed breast holder Breastfront for Camera GoPro Go Pro, missed an adapter Connector P2 Male P10 Stereo Microphone being 3."
3508,f8f0539fdc3209924e0e364e725f5f69,48d5f41593d593945092952e824ce2f8,1,Horrível ,Simplesmente horrível o produto ,2018-05-17 00:00:00,2018-05-21 13:33:29,Simply horrible the product
3514,8c935cd624a8cd93542d98ea74a2ef4d,20e297eefc937e9b79e2cf97e9faddf1,1,5,"Só acho que devia enviar logo o produto eu sempre compro ,mais dessa vez meu produto ainda não chegou.",2018-05-31 00:00:00,2018-06-04 20:29:35,"I just think I should send the product soon I always buy, more this time my product has not yet arrived."
3522,aa8907781ed98659d92da283009efd0d,02fe1a0806a5041f35fc69f658202c34,1,Já solicitei a devolução ,Produto enviado é falaificado,2018-05-23 00:00:00,2018-05-24 00:02:04,Product sent is falasticated
3551,84bc0bf21641e8a51d43e90264fb5b3f,6a713ce5b2cfc769104c39775b662625,1,Tecido fino,"No mesmo dia que usei já encheu de bolinhas, fino demais ",2018-05-04 00:00:00,2018-05-05 00:31:31,"The same day I used has already filled with balls, too thin"
3557,a1a751d51a84b03a83708a4dfd67ccba,6d1c806cf81ca71cdd31c2079e39190b,1,Péssimo ,Veio totalmente errado E o material falado no site não e5 o mesmo é uma porcaria queria trocar e não consegui ,2018-05-10 00:00:00,2018-05-10 20:31:35,Came totally wrong and the material spoken on the site is not e5 the same is a crap wanted to change and I could not
3628,05d49508e8ef4575a2fde920baafdcf4,070162e1ae6ad420c0766af516a31a5b,1,Quantidade errada,Comprei 2 e só veio 1. Espero uma resposta pois só esse pedido que veio errado. Aguardo o outro ah eu.,2018-06-29 00:00:00,2018-07-03 21:07:03,I bought 2 and only came 1. I hope a response because only this request that came wrong.I await the other ah me.
3643,5911f9d982ccd49969ec4a514e952c40,a10eaf1d37ed2040bb65b479fccc8bf5,1,Nao entregam,Não entregaram,2018-06-15 00:00:00,2018-06-15 20:50:26,Have not delivered
3645,31b057b40dcbc80d4ca438c447914ba0,232ac1c81c6a84fd76f9653b248b5d92,1,Produto falsificado,O produto é falsificado. Não veio com manual e nem com certificado de garantia da Orient.,2018-08-08 00:00:00,2018-08-08 20:36:49,The product is falsified.It did not come with a manual or with Orient's warranty certificate.
3649,9af3df24d1eb0c3b6b0d10273035af73,4da1780a79ddb7340ed2081b6c035d2d,1,Não recomendo,"Achei o produto muito leve em relação aos modelos antigos. Ele é completamente feito em plástico, entenda-se, uma ducha corona mais potente. ",2018-06-08 00:00:00,2018-06-08 20:41:34,"I found the product very light in relation to the old models.It is completely made in plastic, understands, a more powerful corona shower."
3667,4d9eb84b9ec4f0479bb51e437bf6af18,12110189ef70d77e946c6a0bd7b945a8,1,Produto não entregue,Produto não entregue,2018-06-09 00:00:00,2018-06-10 16:23:24,Product not delivered
3690,f3c6e7d738482de2b650baf678759d11,a684a880595e155b09caa69ea219257f,1,não recebimento,Até o momento não houve o recebimento do produto,2018-06-30 00:00:00,2018-07-10 15:51:34,So far there was no receipt of the product
3727,ac3eb9d230d6aab9176cbf783e215d48,493e8e1cbab42239778580dfb102b213,1,Péssimo ,Não gostei e não recomendo. O som é baixo e logo de início já não funcionou um dos lados do fone. Horrível ,2018-05-04 00:00:00,2018-05-05 00:59:18,I did not like it and I would not recommend it.The sound is low and early start no longer worked one side of the phone.Horrible
3795,93e2dd9df2468a423c01dd5017caa88f,42326771e9fef8586133e2e6102f87ca,1,nao recomento,"no site o produto ta de uma forma e quando me enviaram enviaram na cor errada, sendo que nao tinha opções de cores, e no anuncio o produto era branco",2018-07-27 00:00:00,2018-07-31 17:57:40,"On the site the product is in a way and when they sent me they sent in the wrong color, being that I did not have color options, and in the advertisement the product was white"
3902,48524042d3c07435c8af70c7f4cb483f,652ae40b48d62a6682c9f4a674f83621,1,Solicitei a devolução ,Recebi um produto diferente do que foi requisitado. A imagem do anúncio não condiz com o produto recebido.,2018-05-19 00:00:00,2018-05-21 19:47:57,I got a different product than it was asked for.The ad image does not match the product received.
3941,71e406af5efbb3faed1f3910278317bf,21ac7b9aaf4cb4e41aa7ed2722a0c2ab,1,Não recebi o produto,"Comprei um plafon com cristal e dois pendentes, consta no e-mail que me encaminharam que foi entregue, mas os pendentes não recebi, somente o plafon. ",2018-06-07 00:00:00,2018-06-08 14:43:50,"I bought a Crystal Plafon and two pendants, appears in the e-mail that they sent me that it was delivered, but the pendants did not receive, only the Plafon."
4012,85a3e50c678d1d8aac6021c039d5ad13,d23cd4e593b64b8b4d86ac59181f1c75,1,Pedido não entregue ,Não recebi o produto,2018-08-25 00:00:00,2018-08-25 13:05:34,I did not receive the product
4062,c0f84473e906283016c74f2b29ab99f6,5b4101f533b7c66611b649809ff634b1,1,Não entregaram os lençóis,Não entregaram os lençóis comprados ,2018-08-14 00:00:00,2018-08-15 11:02:58,Did not deliver the bought sheets
4089,391444447f2c9b97c6f39cf5b8dd2f12,da0c01c648efe58143eae5e7c1a38ac0,1,NÃO entregue,Comprei 2 relógios mas só chegou 1. Já mandei mensagens informando e até agora não tive respostas.,2018-05-08 00:00:00,2018-05-10 16:30:14,I bought 2 watches but only arrived 1. I already sent messages informing and so far I have not had answers.
4114,15ff5b774c65ccd02968f3c64d9a26a4,1c437b4d4326d36b71e91dd7a7c2c4f6,1,Nao recebi tudo,Foi entregue apenas 2 capas das cadeiras sem a toalha de mesa sem outras 4 capas das cadeiras Isso que foi cobrado um preco muito alto pela entrega,2018-05-01 00:00:00,2018-05-02 14:04:01,Was delivered only 2 covers of the chairs without the tablecloth without another 4 covers of the chairs this that was charged a very high price for delivery
4132,88853b30cf3362c56a2a2401beac2c97,a1011d45b3b442fc2af90299beb134a2,1,Pedido pela metade ,"Recebi apenas um produto, e não dois, como paguei. Quero urgente o resto do pedido, pois tenho pressa ",2018-06-20 00:00:00,2018-06-21 00:18:55,"I received only one product, not two, as I paid.I want to urgently the rest of the request, because I am in a hurry"
4175,7d5dd5e9831bc6093fb7980a3dee5c22,62ce4e3989a3477928510bb4d1064cc4,1,Vendedor Sem Compromisso.,"Comprei 3 plafons de led, 2 ralos inteligentes e 2 luminarias. Um dos ralos veio quebrado, comprometendo a funcionalidade do mesmo, e as 2 luminárias simplesmente não foram entregues. E ate agora nada",2018-07-26 00:00:00,2018-07-27 00:58:57,"I purchased 3 LED ceases, 2 smart ralos and 2 luminaries.One of the ralos came broken, compromising the functionality of it, and the 2 luminaires simply were not delivered.And so far nothing"
4246,4183aead8653e420cad671984e922313,dde501be9ad20d82ea7709dbaade2aa0,1,pessimo ...,uma vergonha ...paguei e não recebi o produto !!!,2018-05-03 00:00:00,2018-07-25 13:51:02,A shame ... I paid and did not receive the product !!!
4360,9548b7c48a839204d7f2047da2a9ae25,5f584984f781a737f7a40522e1e8db52,1,Minha compra venho faltan,Minha compra venho incompleta. Tá faltando o chicote. Tento liga e só tem gravação não consigo falar com atendente.,2018-08-14 00:00:00,2018-08-14 21:17:38,My purchase comes incomplete.The whip is missing.I try to call and only have recording I can not talk to an attendant.
4367,815cff546bb55bcfada78d3fc5b984b4,8aea472a57fff07c40f9c6a4caaa3234,1,propaganda enganosa,no anuncio esta como original e me enviaram um produto similiar - propaganda inganosa ,2018-07-04 00:00:00,2018-07-07 23:21:04,in the advertisement is as original and sent me a similiar product - Inganosa Propaganda
4388,f67200897bebcf89fd62b89e12fc0ba8,104d88e666e2ec697eee4ce419862e5a,1,Recebi o produto errado,"Recebi um produto da mesma marca, porém inferior ao que eu havia comprado, sem aviso algum do fornecedor.",2018-06-09 00:00:00,2018-06-12 18:26:01,"I received a product of the same brand, but lower than I had purchased, without warning any of the supplier."
4404,db88f743ec6db2d58ed9e836dc14701b,38c2ff711e43f0a1fbd53318ec252e21,1,Colcha Solteiro ,"A descrição não fala que as peças são super finas. Nada de colcha e sim estão mais para lençol, muito decepcionada mais uma vez.",2018-05-15 00:00:00,2018-05-15 22:51:31,"The description does not say that the parts are super thin.No quilt and yes they are more for sheet, very disappointed one more time."
4473,42b019db7eb74e32f3d41f1139ce159c,21a3f15754b759c91fff4535aaeb3486,1,Produto não condiz com es,"A descrição do produto fala q serve para veículos a parti de 2007 O que não é vdd tenho q fazer a troca do produto só serve para modelo 2009 pra frente
",2018-07-12 00:00:00,2018-07-13 11:53:28,The description of the product speaks q serves for vehicles the parti of 2007 what is not vdd I have to make the exchange of the product only serves for model 2009 forward
4502,6d6b086e00c22fb0fb8f0aceb33d0f3f,68b4e818c05f12bec3a76417829c2846,1,Positiva ,"A cadeira é linda e confortável,mas não compraria novamente. ",2018-06-14 00:00:00,2018-06-16 21:07:17,The chair is beautiful and comfortable but would not buy again.
4525,f4d38adc260998d028d410f3bc1e0c3f,2b68bb35779189904b0cd730eaba3d1d,1,Ressalva,Houve um erro com o pedido e o dinheiro foi devolvido,2018-06-06 00:00:00,2018-06-06 20:06:22,There was an error with the request and the money was returned
4531,81d10fcd7806dbadc56109cb7cfaa105,062682155c454b125c630e1deebff4ea,1,Negativo,"O produto realmente foi entregue no prazo, entretanto chegou todo quebrado creio que por causa do acondicionamento",2018-05-03 00:00:00,2018-05-07 12:36:29,"The product actually was delivered on the deadline, however arrived all broken I believe because of the packaging"
